Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
75252.0,87600.0,14.1,403
83706.0,98598.0,15.1,404
76620.0,105618.0,27.5,405
78612.0,120000.0,34.5,406
78420.0,108798.0,27.9,407
78204.0,115230.0,32.1,408
78396.0,103212.0,24.0,409
78264.0,90816.0,13.8,410
85062.0,120000.0,29.1,411
73776.0,84756.0,13.0,412
66858.0,71376.0,6.3,413
74328.0,107826.0,31.1,414
74688.0,96708.0,22.8,415
74256.0,102822.0,27.8,416
73728.0,95028.0,22.4,417
73608.0,82014.0,10.2,418
78552.0,120000.0,34.5,419
76302.0,78168.0,2.4,420
73752.0,90492.0,18.5,421
77304.0,91812.0,15.8,422
78048.0,93768.0,16.8,423
80808.0,98892.0,18.3,424
76776.0,106962.0,28.2,425
73824.0,94200.0,21.6,426
78792.0,106446.0,26.0,427
28962.0,29484.0,1.8,428
83022.0,107964.0,23.1,429
83904.0,118428.0,29.2,430
74904.0,120000.0,37.6,431
74160.0,98442.0,24.7,432
78588.0,103458.0,24.0,433
73800.0,89760.0,17.8,434
76836.0,100836.0,23.8,435
74208.0,105876.0,29.9,436
34320.0,34320.0,0.0,437
37854.0,40932.0,7.5,438
77988.0,101154.0,22.9,439
77976.0,102456.0,23.9,440
48960.0,49680.0,1.4,441
74016.0,101352.0,27.0,442
57384.0,59940.0,4.3,443
77550.0,103806.0,25.3,444
61230.0,63876.0,4.1,445
74784.0,110772.0,32.5,446
79170.0,108768.0,27.2,447
81564.0,114948.0,29.0,448
74064.0,96840.0,23.5,449
80820.0,97032.0,16.7,450
77604.0,88140.0,12.0,451
73944.0,97842.0,24.4,452
74424.0,88320.0,15.7,453
74448.0,101436.0,26.6,454
74208.0,104952.0,29.3,455
74472.0,108618.0,31.4,456
83946.0,113340.0,25.9,457
61836.0,64188.0,3.7,458
75126.0,88044.0,14.7,459
78756.0,109512.0,28.1,460
73584.0,80520.0,8.6,461
79908.0,95724.0,16.5,462
74736.0,116472.0,35.8,463
84504.0,104172.0,18.9,464
73752.0,92688.0,20.4,465
83310.0,113532.0,26.6,466
78240.0,114756.0,31.8,467
78708.0,102822.0,23.5,468
75048.0,81864.0,8.3,469
77292.0,79428.0,2.7,470
78198.0,104208.0,25.0,471
77646.0,96168.0,19.3,472
53376.0,57996.0,8.0,473
81888.0,118320.0,30.8,474
77304.0,98250.0,21.3,475
76620.0,118488.0,35.3,476
78456.0,120000.0,34.6,477
74832.0,104658.0,28.5,478
81384.0,100716.0,19.2,479
73728.0,93216.0,20.9,480
88812.0,116514.0,23.8,481
63534.0,67320.0,5.6,482
81558.0,88116.0,7.4,483
77352.0,107814.0,28.3,484
82512.0,90312.0,8.6,485
79404.0,110256.0,28.0,486
74160.0,102264.0,27.5,487
76584.0,105030.0,27.1,488
75000.0,111084.0,32.5,489
77376.0,114744.0,32.6,490
85896.0,109302.0,21.4,491
74208.0,99900.0,25.7,492
82020.0,97992.0,16.3,493
75804.0,101286.0,25.2,494
74448.0,108984.0,31.7,495
79314.0,120000.0,33.9,496
89694.0,108588.0,17.4,497
90072.0,120000.0,24.9,498
80952.0,120000.0,32.5,499
74628.0,80556.0,7.4,500
51444.0,54924.0,6.3,501
75768.0,81006.0,6.5,502
82572.0,120000.0,31.2,503
50328.0,51240.0,1.8,504
79566.0,106620.0,25.4,505
75396.0,92340.0,18.3,506
75540.0,94944.0,20.4,507
83124.0,113640.0,26.9,508
80424.0,108594.0,25.9,509
45036.0,45036.0,0.0,510
76692.0,104238.0,26.4,511
74520.0,112788.0,33.9,512
77328.0,112746.0,31.4,513
85836.0,110142.0,22.1,514
76752.0,79116.0,3.0,515
73176.0,73176.0,0.0,516
76596.0,105930.0,27.7,517
97032.0,106932.0,9.3,518
79380.0,99684.0,20.4,519
84102.0,91296.0,7.9,520
77244.0,100356.0,23.0,521
80646.0,97662.0,17.4,522
83700.0,118932.0,29.6,523
69084.0,72396.0,4.6,524
80016.0,103842.0,22.9,525
78096.0,101916.0,23.4,526
72432.0,73320.0,1.2,527
75168.0,93648.0,19.7,528
77040.0,102732.0,25.0,529
77496.0,115038.0,32.6,530
78396.0,89748.0,12.6,531
80640.0,107538.0,25.0,532
74352.0,100008.0,25.7,533
74544.0,109698.0,32.0,534
77700.0,120000.0,35.3,535
